Student_ID,Age,Gender,Study_Hours_Per_Week,Attendance_Rate,Assignments_Submitted,Course_Grade,Part_Time_Job,Monthly_Income,GPA,Social_Media_Usage_Hours,Extra_Curricular_Activities,Internet_Access,Parental_Education_Level,Mode_of_Transport
S04882,18,Female,16,0.9,6,C,Yes,9402,3.08,12,No,Yes,High School,Car
S04883,18,Female,9,0.71,3,C,No,11951,2.23,12,Yes,Yes,Graduate,Bike
S04884,23,Female,6,0.85,0,D,Yes,14438,2.87,2,No,Yes,Graduate,Bike
S04885,19,Male,20,0.83,2,A,No,19970,3.42,8,Yes,No,Graduate,Bus
S04886,18,Male,12,0.58,9,A,Yes,10692,2.9,18,Yes,Yes,Graduate,Car
S04887,22,Other,22,0.58,9,C,No,18023,2.43,9,No,Yes,High School,Bike
S04888,20,Male,10,0.83,3,D,Yes,2746,3.49,12,No,No,High School,Bus
S04889,21,Other,35,0.62,8,D,No,2911,3.59,9,Yes,Yes,High School,Car
S04890,18,Female,8,0.72,1,B,Yes,14094,3.5,11,Yes,Yes,Diploma,Walk
S04891,21,Male,17,0.91,7,F,No,9958,3.12,10,Yes,No,Graduate,Bus
S04892,24,Other,28,0.64,7,F,Yes,17107,3.26,8,Yes,No,Postgraduate,Bus
S04893,19,Other,14,0.67,0,B,Yes,11813,3.34,16,No,No,Graduate,Walk
S04894,18,Female,16,0.66,0,C,Yes,6957,3.84,12,Yes,Yes,High School,Walk
S04895,19,Other,7,0.87,3,D,Yes,13097,2.32,16,Yes,No,Diploma,Walk
S04896,20,Female,22,0.66,6,C,Yes,13354,3.14,12,No,Yes,Postgraduate,Car
S04897,20,Male,34,0.69,0,C,Yes,18387,2.99,1,No,No,High School,Bus
S04898,22,Female,29,0.78,4,A,No,12196,2.45,18,No,No,High School,Walk
S04899,18,Male,5,0.76,7,D,No,16187,3.98,7,No,No,Diploma,Bus
S04900,21,Male,10,0.64,4,D,No,4414,3.59,5,No,No,Postgraduate,Bike
S04901,18,Other,38,0.8,5,D,Yes,2362,2.56,1,Yes,No,Diploma,Bike
S04902,20,Female,19,0.68,0,A,No,17261,3.59,1,Yes,Yes,High School,Car
S04903,19,Female,18,0.73,3,C,No,13290,2.5,1,Yes,No,Postgraduate,Car
S04904,22,Other,10,0.69,7,B,Yes,16190,2.56,17,Yes,No,Postgraduate,Bike
S04905,21,Female,6,0.89,5,A,Yes,2010,3.78,16,No,No,Diploma,Walk
S04906,19,Female,10,0.77,2,C,Yes,12766,3.81,7,Yes,No,High School,Bus
S04907,21,Other,35,0.99,1,F,No,19820,3.63,18,Yes,No,High School,Car
S04908,22,Male,16,0.75,2,A,No,5402,3.99,17,Yes,No,Graduate,Car
S04909,23,Female,5,0.95,8,B,Yes,4378,2.22,19,No,Yes,High School,Car
S04910,24,Male,39,0.79,8,F,Yes,436,3.07,19,No,No,Graduate,Car
S04911,22,Other,27,0.95,3,A,Yes,18779,2.93,6,Yes,Yes,High School,Bike
S04912,24,Other,23,0.83,3,F,No,7632,3.2,19,Yes,No,High School,Bus
S04913,21,Male,10,0.56,1,C,Yes,14557,3.22,13,No,Yes,Diploma,Bus
S04914,20,Female,6,0.55,6,C,Yes,2554,3.26,2,Yes,No,Graduate,Bike
S04915,19,Male,27,0.88,0,C,No,12749,2.62,16,Yes,Yes,Diploma,Bike
S04916,19,Female,32,0.84,4,C,No,1647,2.1,14,No,No,Diploma,Car
S04917,24,Male,26,0.73,1,C,Yes,3326,2.69,13,No,Yes,Diploma,Bike
S04918,18,Other,6,0.71,8,B,Yes,18300,3.43,19,Yes,No,Diploma,Bus
S04919,19,Female,21,0.83,6,B,Yes,9095,2.75,4,No,Yes,Graduate,Bus
S04920,24,Female,39,0.78,9,D,No,6668,3.05,4,Yes,Yes,Postgraduate,Bike
S04921,20,Female,15,0.6,3,A,Yes,626,3.97,16,Yes,Yes,High School,Bike
S04922,20,Other,26,0.94,2,B,No,9664,3.45,1,Yes,Yes,Postgraduate,Bus
S04923,21,Other,13,0.85,5,F,No,13703,3.84,5,Yes,Yes,Postgraduate,Bike
S04924,18,Female,6,0.83,7,B,No,17312,2.76,17,Yes,No,Postgraduate,Bike
S04925,19,Other,10,0.74,5,F,No,3064,3.11,13,No,No,Graduate,Walk
S04926,19,Male,15,0.97,9,C,Yes,951,2.43,10,No,No,Diploma,Bike
S04927,24,Male,15,0.51,2,A,Yes,10386,2.84,13,Yes,No,Graduate,Walk
S04928,22,Other,26,0.85,2,A,Yes,12891,2.47,19,No,Yes,High School,Bike
S04929,21,Other,9,0.99,4,C,Yes,16117,3.08,1,No,Yes,High School,Bike
S04930,24,Female,29,0.8,9,D,Yes,2398,3.17,5,No,Yes,Diploma,Car
S04931,23,Other,10,0.8,2,D,No,8981,2.35,17,Yes,No,Graduate,Bus
S04932,18,Female,13,0.9,0,F,Yes,13333,3.73,14,No,Yes,Graduate,Car
S04933,20,Male,7,0.51,3,A,Yes,12978,2.4,19,Yes,Yes,High School,Bus
S04934,19,Female,30,0.56,2,B,Yes,9735,2.87,8,Yes,No,High School,Walk
S04935,19,Other,21,0.92,5,D,No,323,2.33,19,Yes,No,Diploma,Bike
S04936,23,Male,19,0.83,4,B,Yes,13150,2.37,7,Yes,Yes,High School,Bike
S04937,22,Female,7,0.99,1,D,No,13938,2.98,11,Yes,No,High School,Car
S04938,22,Other,33,0.7,1,F,Yes,1165,3.22,6,No,No,Postgraduate,Bus
S04939,19,Other,33,0.72,9,A,No,1733,2.15,14,Yes,No,Postgraduate,Walk
S04940,19,Other,35,0.83,1,B,Yes,15818,2.26,17,Yes,Yes,Graduate,Walk
S04941,22,Male,23,0.59,7,F,Yes,9598,2.68,17,Yes,No,Graduate,Car
S04942,20,Other,10,0.64,1,B,No,2415,2.16,9,No,No,Postgraduate,Bus
S04943,24,Male,5,0.93,0,A,Yes,17635,3.39,19,No,No,Diploma,Walk
S04944,24,Other,14,0.9,5,F,Yes,15141,3.81,7,Yes,Yes,Postgraduate,Walk
S04945,19,Other,13,0.79,4,A,Yes,926,3.42,16,Yes,Yes,Postgraduate,Bike
S04946,21,Male,19,0.68,2,A,Yes,11157,3.19,14,Yes,Yes,Diploma,Bike
S04947,19,Male,25,0.82,3,C,Yes,15991,3.89,14,No,Yes,Postgraduate,Car
S04948,21,Male,32,0.59,9,A,Yes,10266,2.78,15,Yes,No,Graduate,Bus
S04949,22,Female,24,0.72,7,D,Yes,7678,2.03,11,No,No,Postgraduate,Bike
S04950,23,Other,37,0.75,1,D,No,8781,2.17,17,Yes,Yes,Postgraduate,Bike
S04951,24,Male,37,0.73,4,B,No,11184,3.82,18,Yes,No,High School,Bike
S04952,23,Female,39,0.71,4,A,No,17524,3.94,10,No,Yes,High School,Bike
S04953,20,Female,8,0.69,3,F,No,13471,2.12,17,No,No,Graduate,Bike
S04954,18,Male,32,0.79,1,B,No,10417,3.84,9,Yes,Yes,High School,Walk
S04955,18,Other,25,0.68,4,C,Yes,10818,2.33,15,Yes,Yes,Diploma,Walk
S04956,18,Male,9,0.79,0,A,No,4252,2.73,19,Yes,No,Graduate,Car
S04957,22,Male,18,0.76,5,B,Yes,9015,3.51,10,Yes,Yes,Postgraduate,Car
S04958,22,Other,16,0.68,3,B,Yes,1938,2.79,2,Yes,Yes,Graduate,Walk
S04959,19,Female,10,0.89,5,A,No,15930,3.55,7,No,Yes,Diploma,Car
S04960,20,Female,31,0.52,7,A,No,11806,3.36,8,No,Yes,Diploma,Car
S04961,24,Other,16,0.63,5,F,No,19072,3.86,18,Yes,No,Graduate,Bus
S04962,20,Other,5,0.75,5,D,Yes,945,2.88,11,No,Yes,High School,Bike
S04963,19,Other,10,0.96,6,C,Yes,15299,3.03,18,Yes,No,Diploma,Walk
S04964,20,Female,28,0.54,0,A,No,16997,3.54,14,Yes,Yes,Diploma,Walk
S04965,20,Other,21,0.79,9,A,No,9751,3.94,14,Yes,Yes,Diploma,Bus
S04966,19,Male,39,0.59,9,D,Yes,19351,2.72,18,Yes,Yes,Diploma,Bike
S04967,24,Male,9,0.51,6,A,No,19978,3.87,3,Yes,No,Diploma,Walk
S04968,23,Other,13,0.93,7,D,No,16610,3.37,13,No,No,Postgraduate,Car
S04969,24,Male,20,0.94,5,D,Yes,2718,3.8,5,Yes,No,Diploma,Car
S04970,22,Other,12,0.64,8,D,Yes,4060,2.54,10,Yes,No,Diploma,Walk
S04971,18,Female,22,0.93,1,A,Yes,3757,3.43,4,No,No,Graduate,Walk
S04972,23,Female,35,0.69,6,F,Yes,6469,2.85,15,Yes,Yes,Diploma,Walk
S04973,23,Male,22,0.52,1,F,Yes,13433,2.83,18,Yes,Yes,High School,Walk
S04974,19,Female,26,0.61,7,A,Yes,1461,2.32,5,No,No,Graduate,Walk
S04975,19,Other,28,0.83,6,D,No,9740,2.58,18,No,Yes,Postgraduate,Bus
S04976,18,Male,24,0.6,3,D,Yes,10832,3.59,13,No,Yes,Diploma,Car
S04977,18,Other,24,0.79,7,F,No,13721,3.25,8,Yes,Yes,Postgraduate,Walk
S04978,21,Other,21,0.59,4,B,No,18717,2.49,6,Yes,No,Diploma,Bike
S04979,21,Other,6,0.6,0,C,Yes,3515,3.62,0,No,No,Graduate,Car
S04980,21,Female,38,0.84,3,D,Yes,7315,3.9,17,No,No,Postgraduate,Walk
S04981,22,Other,20,0.94,3,A,No,16525,2.85,14,No,Yes,Graduate,Car
S04982,19,Female,31,0.87,0,F,Yes,2518,3.92,12,Yes,Yes,Diploma,Bike
S04983,21,Other,8,0.53,9,B,No,2236,2.42,3,No,No,Graduate,Walk
S04984,22,Other,22,0.96,2,C,No,8216,2.11,0,Yes,No,Diploma,Bike
S04985,18,Female,14,0.58,5,A,No,3571,2.08,19,Yes,Yes,Postgraduate,Bus
S04986,21,Male,6,0.86,8,B,Yes,15076,3.29,13,No,No,Graduate,Bike
S04987,19,Male,22,0.86,5,D,Yes,6857,3.37,8,Yes,Yes,High School,Bus
S04988,23,Female,35,0.73,1,A,No,12074,3.26,3,Yes,Yes,Postgraduate,Car
S04989,20,Male,30,0.78,1,F,Yes,382,3.68,19,Yes,No,High School,Bus
S04990,22,Female,16,0.55,9,A,No,15268,3.36,8,No,Yes,Postgraduate,Bike
S04991,23,Other,7,0.99,0,A,No,13355,3.51,6,Yes,No,Postgraduate,Bus
S04992,22,Other,34,0.53,3,B,Yes,7570,3.11,2,No,No,Graduate,Bus
S04993,18,Female,22,0.96,0,B,Yes,6998,2.48,13,Yes,No,Postgraduate,Walk
S04994,18,Male,17,0.62,6,D,Yes,725,2.27,19,No,Yes,Postgraduate,Bike
S04995,18,Male,7,0.7,8,F,Yes,14321,3.91,0,Yes,No,Graduate,Bike
S04996,23,Male,8,0.88,7,F,Yes,1713,2.51,7,No,Yes,Diploma,Walk
S04997,21,Other,16,0.94,6,F,Yes,10104,2.51,16,No,Yes,Graduate,Walk
S04998,24,Male,15,0.85,1,C,Yes,13539,3.82,6,No,Yes,Postgraduate,Bike
S04999,18,Other,15,0.56,1,F,Yes,16929,3.82,14,No,Yes,Graduate,Bike
S05000,20,Other,25,0.68,2,A,Yes,4421,2.96,4,Yes,Yes,Diploma,Car
S05001,22,Other,27,0.81,7,A,Yes,3546,3.99,15,No,No,Postgraduate,Bike
S05002,24,Other,21,0.99,1,A,Yes,1937,2.35,8,No,No,Graduate,Bike
S05003,23,Other,5,0.7,9,C,No,5456,2.88,5,No,Yes,High School,Bus
S05004,22,Female,36,0.65,1,A,No,1502,2.31,7,No,Yes,Postgraduate,Bus
S05005,18,Other,11,0.64,3,B,Yes,18765,2.91,5,Yes,Yes,High School,Walk
S05006,24,Other,18,0.93,5,C,Yes,12008,3.99,17,No,Yes,Graduate,Bus
S05007,19,Other,5,0.59,1,B,No,1405,2.68,14,Yes,No,High School,Bus
S05008,22,Female,13,0.82,8,C,No,19793,2.9,11,No,No,Graduate,Bike
S05009,24,Male,34,0.92,8,A,Yes,2451,3.97,11,Yes,No,Postgraduate,Bus
S05010,21,Female,38,0.93,0,D,Yes,19786,2.4,4,Yes,Yes,Graduate,Bus
S05011,19,Female,30,0.57,0,F,No,9625,3.38,4,No,Yes,High School,Walk
S05012,19,Other,21,0.9,9,F,Yes,17277,3.12,6,No,Yes,High School,Walk
S05013,20,Male,26,0.96,8,F,No,3498,3.69,9,No,No,Diploma,Bike
S05014,23,Other,23,0.89,0,F,No,8127,2.99,7,Yes,Yes,High School,Bus
S05015,18,Female,17,0.85,6,B,No,15453,3.05,17,Yes,Yes,High School,Car
S05016,21,Male,20,0.76,4,F,Yes,8219,2.81,8,Yes,Yes,Postgraduate,Car
S05017,19,Female,32,0.88,9,F,Yes,16774,3.4,8,No,Yes,Graduate,Bike
S05018,19,Female,22,0.79,5,D,Yes,14925,3.31,2,No,Yes,High School,Bike
S05019,18,Female,16,0.7,3,B,No,6942,3.65,8,No,No,Graduate,Bike
S05020,21,Male,21,0.75,1,F,No,16253,2.9,1,No,No,Diploma,Walk
S05021,18,Other,23,0.83,2,C,No,6474,2.45,5,Yes,No,Postgraduate,Car
S05022,23,Other,23,0.78,9,B,No,8572,2.83,7,Yes,Yes,Graduate,Car
S05023,24,Male,28,0.83,7,C,No,15185,3.77,11,No,No,Postgraduate,Walk
S05024,21,Male,31,0.99,1,B,Yes,8966,3.36,8,Yes,No,Postgraduate,Bike
S05025,18,Male,5,0.63,6,F,Yes,12031,3.63,9,Yes,No,High School,Walk
S05026,18,Female,24,1.0,2,A,No,17612,3.3,18,No,No,Diploma,Bike
S05027,24,Other,30,0.53,1,B,Yes,15663,3.63,9,Yes,No,High School,Bike
S05028,18,Female,7,0.8,9,F,Yes,17706,3.06,15,Yes,No,Diploma,Bus
S05029,20,Male,16,0.97,3,B,Yes,11245,2.2,13,Yes,Yes,High School,Bike
S05030,18,Female,37,0.55,8,B,No,19620,3.04,11,Yes,No,High School,Car
S05031,23,Female,28,1.0,6,C,No,5725,3.99,5,No,Yes,Postgraduate,Bus
S05032,23,Male,24,0.96,8,C,No,13418,2.18,11,No,No,Diploma,Car
S05033,24,Male,26,0.93,4,D,No,6113,3.81,2,No,No,Graduate,Car
S05034,23,Male,19,0.76,0,C,Yes,9975,2.73,12,Yes,No,Graduate,Car
S05035,24,Other,24,0.61,2,B,No,15235,2.18,5,Yes,Yes,Graduate,Bus
S05036,19,Male,27,0.54,1,A,Yes,14611,3.07,1,No,Yes,Postgraduate,Car
S05037,20,Other,27,0.53,8,C,No,2334,3.91,4,No,Yes,High School,Bike
S05038,24,Male,36,0.79,1,C,Yes,18432,3.08,16,Yes,No,High School,Car
S05039,23,Female,14,0.85,6,A,No,14534,2.86,13,No,Yes,Postgraduate,Bus
S05040,18,Male,34,0.61,4,D,No,4663,2.04,16,No,Yes,Postgraduate,Bus
S05041,21,Female,23,0.74,1,D,No,3764,3.97,13,No,No,Postgraduate,Car
S05042,22,Female,35,0.76,2,F,No,18989,2.44,12,No,Yes,Postgraduate,Car
S05043,20,Other,24,0.95,7,C,Yes,1160,3.95,18,No,Yes,High School,Walk
S05044,24,Female,8,0.56,1,D,No,6740,2.53,15,Yes,No,Graduate,Bus
S05045,23,Male,24,0.9,4,F,No,6598,2.87,11,No,Yes,High School,Walk
S05046,21,Female,13,0.89,4,D,Yes,68,2.09,19,No,No,High School,Car
S05047,23,Female,30,0.84,7,A,No,5927,3.0,6,Yes,Yes,High School,Car
S05048,23,Female,23,0.62,4,B,Yes,4494,2.06,0,Yes,Yes,Graduate,Bus
S05049,20,Male,31,0.53,2,A,No,17137,3.5,19,Yes,Yes,High School,Car
S05050,21,Male,23,0.89,2,A,No,4739,3.16,13,No,No,Postgraduate,Car
S05051,23,Female,36,0.78,3,A,Yes,13256,2.2,3,Yes,No,Diploma,Car
S05052,19,Female,14,0.81,2,A,No,3325,3.18,2,Yes,No,Diploma,Bike
S05053,21,Other,28,0.93,0,B,No,9746,3.55,1,No,No,Graduate,Bike
S05054,19,Female,23,0.57,8,B,No,12830,2.88,19,No,Yes,Diploma,Bike
S05055,24,Female,28,0.6,7,F,Yes,18741,2.39,1,No,No,Postgraduate,Bus
S05056,24,Other,18,0.71,2,D,Yes,10763,3.69,4,No,Yes,Postgraduate,Car
S05057,21,Female,19,0.68,0,C,Yes,17774,2.44,11,Yes,No,High School,Bike
S05058,23,Male,15,0.97,7,B,No,53,3.11,2,No,No,High School,Bike
S05059,20,Female,19,0.66,0,D,No,14114,2.65,12,No,No,Graduate,Car
S05060,22,Female,26,0.95,2,F,No,17741,2.61,13,Yes,No,Diploma,Bus
S05061,20,Male,8,0.77,1,D,Yes,3292,2.37,3,Yes,Yes,Graduate,Walk
S05062,23,Male,28,0.55,2,C,Yes,692,3.27,11,Yes,Yes,High School,Walk
S05063,19,Other,30,0.84,8,A,Yes,3519,3.74,17,No,No,Diploma,Walk
S05064,21,Other,9,0.87,6,C,Yes,15375,2.03,3,Yes,Yes,Diploma,Car
S05065,24,Other,16,0.58,6,C,Yes,11324,2.64,5,No,Yes,Postgraduate,Walk
S05066,23,Female,6,0.71,8,B,Yes,17899,3.64,17,No,No,Graduate,Walk
S05067,21,Female,34,0.57,8,B,Yes,287,3.36,19,No,No,Postgraduate,Bike
S05068,21,Other,32,0.59,1,C,Yes,2979,2.26,3,Yes,No,Postgraduate,Bike
S05069,22,Male,9,0.84,0,A,Yes,227,2.79,11,No,No,High School,Car
S05070,23,Other,31,0.75,6,A,No,4360,3.79,17,No,Yes,Graduate,Car
S05071,20,Male,12,0.52,6,B,Yes,17912,3.25,3,No,Yes,Postgraduate,Bike
S05072,24,Other,37,0.97,7,A,No,19126,3.64,14,Yes,No,Graduate,Car
S05073,20,Other,18,0.85,1,C,No,2537,3.03,6,No,Yes,Diploma,Walk
S05074,24,Female,23,0.53,0,C,Yes,2551,2.48,3,Yes,Yes,Postgraduate,Car
S05075,23,Male,32,0.86,2,F,Yes,2644,2.19,9,No,Yes,Graduate,Walk
S05076,21,Other,21,0.92,2,F,Yes,12318,3.44,13,Yes,No,Graduate,Bus
S05077,24,Other,34,0.7,9,C,Yes,18288,2.09,10,Yes,Yes,Graduate,Bike
S05078,21,Male,16,0.88,4,C,No,4813,2.63,14,No,Yes,Graduate,Bike
S05079,21,Female,11,0.64,7,B,No,10850,2.56,1,No,No,Postgraduate,Bike
S05080,20,Male,37,0.56,0,D,No,9338,2.35,16,No,Yes,Graduate,Car
S05081,22,Other,26,0.99,2,F,Yes,10314,3.11,18,No,No,Diploma,Bus
S05082,23,Male,35,0.5,5,A,Yes,6543,3.98,10,No,No,High School,Walk
S05083,21,Male,29,0.76,3,C,No,14981,3.76,6,Yes,Yes,Diploma,Walk
S05084,21,Male,28,0.55,9,D,Yes,7658,2.44,15,No,No,Postgraduate,Car
S05085,22,Other,36,0.8,8,D,Yes,1807,2.17,18,No,Yes,Postgraduate,Walk
S05086,23,Male,27,0.5,1,F,Yes,2118,3.62,19,Yes,No,High School,Bus
S05087,24,Female,34,0.53,2,B,No,5435,3.38,1,Yes,No,High School,Car
S05088,23,Other,19,0.85,1,C,Yes,16263,3.28,2,No,Yes,High School,Car
S05089,24,Other,30,0.9,1,C,Yes,10274,3.07,16,No,Yes,Graduate,Car
S05090,24,Female,11,0.9,9,D,No,8851,3.47,3,No,Yes,Graduate,Bike
S05091,22,Female,34,0.59,3,B,Yes,1852,3.03,9,No,Yes,Diploma,Bike
S05092,21,Other,29,0.5,2,D,No,9550,3.03,17,Yes,Yes,High School,Walk
S05093,23,Other,27,0.87,7,A,No,13842,2.78,15,Yes,No,Graduate,Bike
S05094,19,Female,31,0.59,5,A,Yes,11141,3.62,8,Yes,No,Graduate,Walk
S05095,24,Other,35,0.66,0,C,No,2546,2.3,11,No,Yes,High School,Car
S05096,22,Female,33,0.64,5,F,No,941,3.76,13,No,Yes,Postgraduate,Car
S05097,22,Other,21,0.97,2,D,No,13353,3.3,5,Yes,No,Postgraduate,Car
S05098,20,Other,11,0.94,2,C,No,564,3.21,14,No,Yes,Diploma,Bike
S05099,18,Other,8,0.73,3,A,No,5885,3.84,14,Yes,Yes,Graduate,Bus
S05100,21,Male,39,0.9,7,D,Yes,1813,3.29,0,No,Yes,Diploma,Walk
S05101,18,Other,22,0.87,6,C,Yes,10659,2.42,2,Yes,No,Graduate,Walk
S05102,18,Male,9,0.74,2,F,Yes,1925,3.63,10,Yes,Yes,High School,Walk
S05103,21,Female,37,0.55,0,C,No,19717,3.88,6,No,No,Diploma,Car
S05104,20,Other,11,0.89,5,A,Yes,13690,2.67,2,No,No,Diploma,Walk
S05105,22,Other,26,0.84,0,B,No,46,2.53,17,Yes,No,Diploma,Car
S05106,20,Male,30,0.58,4,C,Yes,16709,3.34,18,No,Yes,High School,Bus
S05107,20,Female,31,0.74,3,B,No,7644,3.87,0,No,Yes,Postgraduate,Walk
S05108,24,Female,5,0.9,5,B,Yes,5173,2.59,16,Yes,Yes,High School,Bike
S05109,21,Male,17,0.88,1,C,No,17358,2.69,7,Yes,No,High School,Walk
S05110,19,Female,14,0.99,1,A,Yes,7361,2.14,10,No,Yes,Graduate,Bike
S05111,24,Male,27,0.73,4,B,Yes,10018,3.48,5,Yes,Yes,High School,Car
S05112,23,Other,16,0.91,0,B,Yes,14220,3.64,1,Yes,No,Postgraduate,Bus
S05113,23,Male,19,0.5,2,C,Yes,16851,2.47,2,Yes,Yes,Diploma,Walk
S05114,23,Male,16,0.82,9,A,No,9153,3.77,14,No,Yes,Diploma,Car
S05115,24,Female,28,0.64,5,D,No,19101,2.98,5,Yes,Yes,Graduate,Bike
S05116,22,Other,36,0.58,0,D,Yes,611,2.53,5,Yes,No,Diploma,Car
S05117,23,Other,30,0.87,1,F,Yes,12602,3.18,18,No,No,High School,Walk
S05118,23,Male,20,0.69,1,C,Yes,17717,3.15,9,Yes,Yes,Graduate,Bike
S05119,22,Female,39,0.81,9,B,No,6119,2.67,18,No,Yes,Graduate,Car
S05120,21,Male,20,0.92,8,A,Yes,1034,3.31,4,Yes,No,Postgraduate,Car
S05121,23,Other,22,0.77,6,B,No,14152,3.59,0,No,No,Postgraduate,Bike
S05122,19,Other,22,0.72,1,D,Yes,15316,3.43,9,Yes,Yes,Diploma,Car
S05123,19,Female,20,0.81,0,A,No,10945,2.75,15,No,No,Graduate,Walk
S05124,24,Other,19,1.0,0,A,No,16032,3.63,8,No,Yes,High School,Bus
S05125,23,Other,27,0.56,8,C,Yes,3499,3.33,6,No,No,Diploma,Bike
S05126,18,Male,39,0.64,4,C,Yes,14297,2.57,11,Yes,Yes,Diploma,Bus
S05127,18,Male,11,0.97,7,F,Yes,11922,3.73,7,Yes,Yes,Diploma,Car
S05128,23,Other,12,1.0,4,C,Yes,10951,2.05,18,No,No,Graduate,Bus
S05129,20,Female,9,0.78,1,B,Yes,7827,3.29,16,No,Yes,High School,Car
S05130,23,Female,33,0.51,0,A,No,18986,3.06,18,No,Yes,Postgraduate,Walk
S05131,22,Other,32,0.92,6,B,No,4971,3.35,18,No,No,Graduate,Bus
S05132,22,Female,34,0.82,6,F,Yes,17814,3.05,0,No,No,Diploma,Car
S05133,22,Other,30,0.76,8,A,No,13901,3.92,9,Yes,Yes,Postgraduate,Walk
S05134,20,Other,17,0.98,5,F,No,6042,2.68,7,No,Yes,Postgraduate,Bus
S05135,23,Male,21,0.57,5,A,No,15892,2.56,16,Yes,No,Graduate,Walk
S05136,23,Male,38,0.67,0,C,No,11139,2.55,7,Yes,Yes,Diploma,Car
S05137,24,Female,33,0.81,1,C,Yes,1550,2.99,9,No,Yes,High School,Bus
S05138,19,Female,11,0.5,2,D,Yes,840,3.33,9,Yes,No,Graduate,Bus
S05139,19,Other,18,0.93,0,D,Yes,14585,2.16,9,No,Yes,High School,Walk
S05140,22,Male,20,0.88,9,D,No,1956,3.83,16,Yes,No,Graduate,Walk
S05141,23,Male,19,0.62,4,D,Yes,1720,2.53,7,Yes,No,Postgraduate,Car
S05142,19,Male,11,0.65,9,C,No,15539,2.03,12,No,No,Postgraduate,Bike
S05143,22,Other,37,0.65,7,F,Yes,2377,3.85,10,No,No,Diploma,Walk
S05144,19,Male,10,0.93,5,B,No,7561,2.48,14,Yes,Yes,High School,Bus
S05145,23,Male,5,0.66,7,D,No,4312,3.32,17,Yes,Yes,High School,Bike
S05146,23,Female,27,0.64,7,F,No,19401,2.07,2,Yes,No,Diploma,Bus
S05147,24,Male,39,0.87,8,D,No,7724,3.23,16,No,No,High School,Car
S05148,21,Female,10,0.79,7,D,Yes,2253,2.54,6,No,Yes,Graduate,Walk
S05149,24,Female,14,0.68,4,C,Yes,4552,2.4,3,No,Yes,Postgraduate,Car
S05150,24,Female,19,0.79,5,F,Yes,17971,2.13,7,Yes,Yes,Postgraduate,Walk
S05151,18,Other,9,0.96,5,D,Yes,15033,3.79,12,No,Yes,Postgraduate,Bike
S05152,21,Female,16,0.73,8,C,No,13183,3.86,18,Yes,Yes,Diploma,Car
S05153,18,Male,36,0.5,5,A,Yes,10668,3.65,4,No,Yes,Graduate,Bike
S05154,19,Male,9,0.87,2,D,No,9862,2.59,17,No,Yes,Graduate,Bike
S05155,24,Female,6,1.0,3,A,No,649,2.0,15,No,Yes,Diploma,Walk
S05156,21,Other,37,0.53,9,B,No,4890,2.48,5,No,Yes,Diploma,Car
S05157,22,Male,10,0.81,2,C,No,6127,3.18,18,No,No,Graduate,Car
S05158,21,Male,30,0.7,7,A,No,5177,2.66,14,No,No,Diploma,Walk
S05159,19,Female,30,0.78,6,F,Yes,2761,2.27,16,Yes,Yes,Diploma,Bus
S05160,19,Female,12,0.65,7,F,No,13929,2.4,17,Yes,No,High School,Bike
S05161,18,Other,29,0.88,5,C,No,15977,3.61,5,Yes,Yes,Postgraduate,Bus
S05162,21,Female,27,0.55,2,B,No,5161,2.63,8,No,No,Diploma,Car
S05163,19,Female,21,0.54,4,D,Yes,2472,2.27,18,No,Yes,Postgraduate,Car
S05164,21,Male,20,0.77,2,A,Yes,8676,3.19,9,No,Yes,Postgraduate,Car
S05165,20,Female,31,0.66,9,F,No,6073,3.14,16,Yes,No,Diploma,Car
S05166,19,Male,29,0.96,4,A,No,6620,2.8,12,Yes,Yes,Graduate,Walk
S05167,18,Female,36,0.6,8,F,Yes,13518,3.02,3,No,No,Graduate,Car
S05168,24,Other,29,0.89,4,F,No,16984,2.52,6,No,Yes,Diploma,Walk
S05169,24,Male,36,0.99,5,A,Yes,4089,3.39,4,No,Yes,Diploma,Bus
S05170,24,Other,23,0.66,6,C,Yes,16501,2.44,7,Yes,No,High School,Bus
S05171,18,Male,26,0.96,0,C,Yes,13011,3.17,16,No,No,Graduate,Bike
S05172,22,Male,23,0.66,7,A,Yes,9779,2.96,8,Yes,Yes,High School,Car
S05173,19,Other,15,0.78,1,D,Yes,6682,2.28,8,No,No,Postgraduate,Bike
S05174,23,Female,26,0.5,7,B,No,17410,2.8,11,No,Yes,Graduate,Walk
S05175,23,Female,24,0.63,3,C,No,13761,3.03,18,Yes,No,Diploma,Bike
S05176,23,Male,20,0.53,0,F,No,14764,2.06,12,No,Yes,High School,Bike
S05177,22,Other,15,0.51,6,F,Yes,13066,3.6,15,No,No,Graduate,Walk
S05178,23,Female,10,1.0,8,D,Yes,7048,3.45,18,Yes,Yes,Diploma,Walk
S05179,18,Female,7,0.88,8,A,Yes,13644,2.51,17,No,Yes,High School,Car
S05180,19,Female,23,0.67,3,D,Yes,230,2.49,3,No,Yes,Postgraduate,Car
S05181,20,Other,14,0.84,7,A,Yes,13670,2.63,0,Yes,No,Graduate,Car
S05182,21,Female,36,0.76,6,F,No,13297,3.6,0,No,No,Graduate,Bus
S05183,23,Female,25,0.96,3,D,Yes,4769,3.8,1,No,No,Postgraduate,Bus
S05184,19,Male,35,0.62,7,C,No,1338,2.35,6,No,No,Graduate,Car
